date,location,category,sub_category
60/08/2022,Davis,Input,Rover Imaging
06/12/2022,Davis,Input,Drone Imaging
06/13/2022,Kearney,Input,Rover Imaging
06/13/2022,Kearney,Input,Drone Imaging
06/15/2022,Davis,Input,Drone Imaging
06/18/2022,Davis,Input,Rover Imaging
06/18/2022,Davis,Input,Drone Imaging
06/21/2022,Kearney,Input,Rover Imaging
06/21/2022,Kearney,Input,Drone Imaging
06/22/2022,Davis,Input,Drone Imaging
06/28/2022,Davis,Input,Rover Imaging
06/28/2022,Davis,Input,Drone Imaging
06/29/2022,Kearney,Input,Rover Imaging
06/29/2022,Kearney,Input,Drone Imaging
06/29/2022,Davis,Input,Physio Measurement
07/05/2022,Kearney,Input,Drone Imaging
07/05/2022,Kearney,Input,Rover Imaging
07/06/2022,Davis,Input,Rover Imaging
07/06/2022,Davis,Input,Drone Imaging
07/06/2022,Davis,Ground Truth,Flowering Scoring
07/07/2022,Davis,Input,Rover Imaging
07/07/2022,Davis,Input,Drone Imaging
07/07/2022,Davis,Ground Truth,Flowering Scoring
07/08/2022,Davis,Input,Drone Imaging
07/10/2022,Davis,Input,Rover Imaging
07/10/2022,Davis,Input,Drone Imaging
07/10/2022,Davis,Ground Truth,Flowering Scoring
07/11/2022,Kearney,Ground Truth,Flowering Scoring
07/12/2022,Davis,Input,Drone Imaging
07/18/2022,Davis,Input,Rover Imaging
07/18/2022,Davis,Input,Drone Imaging
07/18/2022,Davis,Ground Truth,Stand Count CB
07/18/2022,Davis,Ground Truth,Flowering scoring CB
07/18/2022,Davis,Ground Truth,Flowering scoring CP
07/18/2022,Kearney,Ground Truth,Stand Count CB
07/18/2022,Kearney,Ground Truth,Flowering scoring CB
07/19/2022,Davis,Ground Truth,Flowering scoring CB
07/19/2022,Davis,Ground Truth,Flowering scoring CP
07/20/2022,Kearney,Input,Drone Imaging
07/20/2022,Kearney,Input,Rover Imaging
07/20/2022,Kearney,Ground Truth,Flowering Scoring CB
07/22/2022,Davis,Input,Rover Imaging
07/22/2022,Davis,Input,Drone Imaging
07/22/2022,Davis,Input,Drone Imaging Sorghum
07/22/2022,Davis,Ground Truth,Flowering scoring CB
07/22/2022,Davis,Ground Truth,Flowering scoring CP
07/25/2022,Davis,Input,Rover Imaging
07/25/2022,Davis,Input,Drone Imaging
07/25/2022,Davis,Ground Truth,Flowering scoring CB
07/25/2022,Davis,Ground Truth,Flowering scoring CP
07/26/2022,Kearney,Input,Rover Imaging
07/26/2022,Kearney,Input,Drone Imaging
07/26/2022,Kearney,Ground Truth,Flowering Scoring CB
07/27/2022,Davis,Input,Physio Measurement
07/27/2022,Davis,Input,LIDAR Scanning
07/28/2022,Davis,Input,Physio Measurement
07/28/2022,Davis,Input,LIDAR Scanning
07/29/2022,Davis,Input,Rover Imaging
07/29/2022,Davis,Ground Truth,Flowering scoring CB
07/29/2022,Davis,Ground Truth,Flowering scoring CP
07/29/2022,Kearney,Input,Rover Imaging
07/29/2022,Kearney,Ground Truth,Flowering Scoring Sorghum
08/02/2022,Davis,Input,Rover Imaging
08/02/2022,Davis,Input,Drone Imaging
08/02/2022,Davis,Ground Truth,Flowering Scoring CB
08/02/2022,Davis,Ground Truth,Flowering Scoring CP
08/03/2022,Kearney,Input,Drone Imaging
08/03/2022,Kearney,Input,Rover Imaging
08/03/2022,Kearney,Ground Truth,Flowering Scoring CB
08/03/2022,Kearney,Ground Truth,Flowering Scoring CP
08/05/2022,Davis,Ground Truth,Flowering Scoring CP
08/07/2022,Kearney,Input,Drone Imaging
08/07/2022,Kearney,Ground Truth,Flowering Time Sorghum
08/08/2022,Davis,Input,Drone Imaging
08/08/2022,Davis,Ground Truth,Flowering Scoring CB
08/08/2022,Davis,Ground Truth,Flowering Scoring CP
08/09/2022,Kearney,Input,Drone Imaging
08/09/2022,Kearney,Input,Rover Imaging
08/09/2022,Kearney,Ground Truth,Stand Count CP
08/09/2022,Kearney,Ground Truth,Flowering Scoring CB
08/09/2022,Kearney,Ground Truth,Flowering Scoring CP
08/10/2022,Davis,Input,Physio Measurement
08/11/2022,Davis,Input,Physio Measurement
08/11/2022,Davis,Ground Truth,Flowering Scoring Sorghum
08/12/2022,Davis,Input,Drone Imaging Sorghum
08/12/2022,Davis,Ground Truth,Flowering Scoring Sorghum
08/13/2022,Davis,Input,Drone Imaging CP
08/13/2022,Davis,Ground Truth,Flowering Scoring CP
08/14/2022,Kearney,Input,Drone Imaging
08/14/2022,Kearney,Input,Rover Imaging
08/14/2022,Kearney,Ground Truth,Stand Count CP
08/14/2022,Kearney,Ground Truth,Flowering Scoring CB
08/14/2022,Kearney,Ground Truth,Flowering Scoring CP
08/17/2022,Kearney,Ground Truth,Flowering Scoring CB
08/17/2022,Kearney,Ground Truth,Flowering Time Sorghum
08/20/2022,Davis,Input,Drone Imaging
08/20/2022,Davis,Ground Truth,Plant Height
08/21/2022,Kearney,Ground Truth,Stand Count CP
08/21/2022,Kearney,Ground Truth,Flowering Scoring CB
08/21/2022,Kearney,Ground Truth,Flowering Scoring CP
08/22/2022,Davis,Input,Physio Measurement
08/22/2022,Davis,Input,LIDAR Scanning
08/23/2022,Davis,Input,Physio Measurement
08/23/2022,Davis,Input,LIDAR Scanning
08/29/2022,Kearney,Ground Truth,Flowering Scoring CP
06/15/2023,Kearney,Input,Drone Imaging
06/15/2023,Kearney,Input,Rover Imaging
06/20/2023,Davis,Input,Rover Imaging
06/20/2023,Davis,Input,Drone Imaging
06/20/2023,Davis,Ground Truth,Stand Count CB
06/22/2023,Kearney,Input,Rover Imaging
06/22/2023,Kearney,Input,Drone Imaging
06/23/2023,Davis,Ground Truth,Stand Count CP
06/26/2023,Kearney,Ground Truth,Stand Count CB
06/27/2023,Davis,Input,Rover Imaging
06/27/2023,Davis,Input,Drone Imaging
06/28/2023,Davis,Ground Truth,Stand Count Sorghum
06/28/2023,Davis,Ground Truth,Plant Height CB
06/29/2023,Kearney,Input,Drone Imaging
06/29/2023,Kearney,Input,Rover Imaging
06/29/2023,Kearney,Input,Drone Imaging CP
06/29/2023,Kearney,Input,Rover Imaging CP
07/03/2023,Davis,Input,Rover Imaging
07/03/2023,Davis,Input,Drone Imaging
07/05/2023,Davis,Input,Rover Imaging
07/05/2023,Davis,Input,Drone Imaging
07/05/2023,Davis,Ground Truth,Flowering Scoring CB
07/06/2023,Kearney,Input,Drone Imaging
07/06/2023,Kearney,Input,Rover Imaging
07/06/2023,Kearney,Input,Drone Imaging CP
07/06/2023,Kearney,Input,Rover Imaging CP
07/07/2023,Davis,Input,Rover Imaging
07/07/2023,Davis,Input,Drone Imaging
07/07/2023,Davis,Ground Truth,Flowering Scoring CB
07/08/2023,Davis,Ground Truth,Flowering Scoring CB
07/10/2023,Davis,Ground Truth,Flowering Scoring CB
07/11/2023,Davis,Ground Truth,Flowering Scoring CB
07/12/2023,Kearney,Ground Truth,Flowering Scoring CB
07/13/2023,Kearney,Input,Drone Imaging
07/13/2023,Kearney,Input,Rover Imaging
07/13/2023,Kearney,Input,Drone Imaging CP
07/13/2023,Kearney,Input,Rover Imaging CP
07/14/2023,Davis,Input,Rover Imaging
07/14/2023,Davis,Input,Drone Imaging
07/14/2023,Davis,Input,Flowering Scoring CB
07/14/2023,Davis,Input,Flowering Scoring CP
07/17/2023,Davis,Ground Truth,Flowering Scoring CB
07/17/2023,Davis,Ground Truth,Flowering Scoring CP
07/18/2023,Davis,Input,Rover Imaging
07/18/2023,Davis,Input,Drone Imaging
07/18/2023,Davis,Input,Plant Height CP
07/18/2023,Davis,Input,Plant Height CP
07/18/2023,Davis,Ground Truth,Plant Height Sorghum
07/19/2023,Kearney,Ground Truth,Flowering Scoring CB
07/20/2023,Kearney,Input,Drone Imaging
07/20/2023,Kearney,Input,Rover Imaging
07/20/2023,Kearney,Input,Drone Imaging CP
07/20/2023,Kearney,Input,Rover Imaging CP
07/20/2023,Davis,Ground Truth,Flowering Scoring CB
07/20/2023,Davis,Ground Truth,Flowering Scoring CP
07/24/2023,Davis,Ground Truth,Flowering Scoring CB
07/24/2023,Davis,Ground Truth,Flowering Scoring CP
07/25/2023,Davis,Input,Rover Imaging
07/25/2023,Davis,Input,Drone Imaging
07/26/2023,Kearney,Ground Truth,Flowering Scoring CB
07/26/2023,Kearney,Ground Truth,Flowering Scoring CP
07/27/2023,Kearney,Input,Drone Imaging
07/27/2023,Kearney,Input,Rover Imaging
07/27/2023,Kearney,Input,Drone Imaging CP
07/27/2023,Kearney,Input,Rover Imaging CP
07/27/2023,Davis,Ground Truth,Flowering Scoring CP
07/27/2023,Davis,Ground Truth,Flowering Time Sorghum
07/28/2023,Davis,Input,Rover Imaging
07/28/2023,Davis,Input,Drone Imaging
07/31/2023,Davis,Ground Truth,Flowering Scoring CP
07/31/2023,Davis,Ground Truth,Flowering Time Sorghum
08/01/2023,Davis,Input,Rover Imaging
08/01/2023,Davis,Input,Drone Imaging
08/02/2023,Kearney,Ground Truth,Flowering Scoring CB
08/02/2023,Kearney,Ground Truth,Flowering Scoring CP
08/03/2023,Kearney,Input,Drone Imaging
08/03/2023,Kearney,Input,Rover Imaging
08/03/2023,Kearney,Input,Drone Imaging CP
08/03/2023,Kearney,Input,Rover Imaging CP
08/03/2023,Davis,Ground Truth,Flowering Scoring CP
08/03/2023,Davis,Ground Truth,Flowering Time Sorghum
08/07/2023,Davis,Ground Truth,Flowering Scoring CP
08/07/2023,Davis,Ground Truth,Flowering Time Sorghum
08/10/2023,Kearney,Input,Drone Imaging
08/10/2023,Kearney,Input,Rover Imaging
08/10/2023,Kearney,Input,Drone Imaging CP
08/10/2023,Kearney,Input,Rover Imaging CP
08/10/2023,Kearney,Ground Truth,Flowering Scoring CP
08/11/2023,Davis,Ground Truth,Flowering Scoring CP
08/11/2023,Davis,Ground Truth,Flowering Time Sorghum
08/14/2023,Davis,Ground Truth,Plant Height CB
08/14/2023,Davis,Ground Truth,Flowering Scoring CP
08/14/2023,Davis,Ground Truth,Flowering Time Sorghum
08/16/2023,Davis,Ground Truth,Flowering Scoring CP
08/17/2023,Kearney,Input,Drone Imaging
08/17/2023,Kearney,Input,Rover Imaging
08/17/2023,Kearney,Input,Drone Imaging CP
08/17/2023,Kearney,Input,Rover Imaging CP
08/17/2023,Kearney,Ground Truth,Plant Height CB
08/17/2023,Kearney,Ground Truth,Flowering Scoring CP
08/18/2023,Davis,Ground Truth,Plant Height CP
08/18/2023,Davis,Ground Truth,Flowering Scoring CP
08/18/2023,Davis,Ground Truth,Flowering Time Sorghum
08/21/2023,Davis,Ground Truth,Flowering Scoring CP
08/21/2023,Davis,Ground Truth,Flowering Time Sorghum
08/23/2023,Kearney,Ground Truth,Plant Height CP
08/23/2023,Kearney,Ground Truth,Flowering Scoring CP
08/25/2023,Davis,Ground Truth,Flowering Time Sorghum
08/28/2023,Davis,Ground Truth,Plant Height CP
08/28/2023,Davis,Ground Truth,Flowering Scoring CP
08/28/2023,Davis,Ground Truth,Flowering Time Sorghum
09/01/2023,Davis,Ground Truth,Flowering Time Sorghum
09/01/2023,Kearney,Ground Truth,Flowering Scoring CP
09/05/2023,Davis,Ground Truth,Flowering Time Sorghum
09/11/2023,Davis,Ground Truth,Flowering Time Sorghum
09/11/2023,Davis,Ground Truth,Flowering Time Sorghum
09/12/2023,Davis,Ground Truth,Harvest CB
09/17/2023,Davis,Ground Truth,Harvest CB
09/22/2023,Davis,Ground Truth,Harvest CB
09/22/2023,Davis,Ground Truth,Flowering Time Sorghum
09/28/2023,Davis,Ground Truth,Plant Height Sorghum
09/28/2023,Kearney,Ground Truth,Plant Height CP
10/13/2023,Kearney,Ground Truth,Harvest CB
10/17/2023,Kearney,Ground Truth,Harvest CB
10/19/2023,Kearney,Ground Truth,Harvest CB
10/20/2023,Kearney,Ground Truth,Harvest CP
10/20/2023,Davis,Ground Truth,Harvest CB
10/27/2023,Davis,Ground Truth,Harvest CB
10/30/2023,Davis,Ground Truth,Harvest CB
11/03/2023,Davis,Ground Truth,Harvest CB
11/09/2023,Davis,Ground Truth,Harvest Sorghum
11/10/2023,Davis,Ground Truth,Harvest Sorghum
